"timestamp","company","category","open","high","low","close","volume","previous","change.percent","result","vix.open","vix.high","vix.low","vix.close","vix.previous","vix.change.percent","vix.result","confirmed.total","confirmed.previous","confirmed.change.percent","confirmed.result","deaths.total","deaths.previous","deaths.change.percent","deaths.result"
2020-04-03,"mcdonald","hospitality",160.31,162.23,156.15,160.33,5049100,161.5,0.0210532970854145,"down",51.11,52.29,46.74,46.8,50.91,0.892218717139853,"down",1112215,1029275,0.0859163993923025,"up",62314,56334,0.126071921162572,"up"
2020-04-06,"mcdonald","hospitality",169.2,177.87,168.24,177.04,8327470,160.33,-0.00724458204334358,"up",44.17,45.73,43.45,45.24,46.8,0.919269298762522,"down",1337062,1112215,0.0805809914745816,"up",79015,62314,0.106152589910179,"up"
2020-04-07,"mcdonald","hospitality",184.53,185.19,175.16,175.59,7846715,177.04,0.104222541009168,"down",44.83,47.51,43.51,46.7,45.24,0.966666666666667,"up",1413812,1337062,0.202161452596845,"up",86922,79015,0.268013608498893,"up"
2020-04-08,"mcdonald","hospitality",175.01,179.42,174.1,177.49,5663338,175.59,-0.00819023949389962,"up",45.9,47.28,42.53,43.35,46.7,1.03227232537577,"down",1497403,1413812,0.0574019753758614,"up",93651,86922,0.100069607036639,"up"
2020-04-09,"mcdonald","hospitality",180.73,185.46,179.62,183.7,4900741,177.49,0.0108206617688935,"up",43,45.73,41.39,41.67,43.35,0.928265524625268,"down",1583844,1497403,0.0591245512133155,"up",101266,93651,0.0774142334506799,"up"
2020-04-13,"mcdonald","hospitality",182.68,182.8506,176.91,180.12,3181398,183.7,0.0349878866415008,"down",44.6,45.04,41.17,41.17,41.67,0.961245674740484,"down",1915142,1583844,0.0577272784948341,"up",126070,101266,0.0813125327011991,"up"
2020-04-14,"mcdonald","hospitality",183.75,184.49,181.84,183.99,3863448,180.12,-0.0194882961350026,"up",40.24,40.57,37.31,37.76,41.17,0.988000959923206,"down",1984840,1915142,0.209173378186236,"up",132972,126070,0.244939071356625,"up"
2020-04-15,"mcdonald","hospitality",178.74,180.97,177.27,177.84,4959056,183.99,0.0214856762158561,"down",42.57,43.23,40.05,40.84,37.76,0.917172698566918,"up",2065566,1984840,0.0363931238519128,"up",141271,132972,0.0547473625763465,"up"
2020-04-16,"mcdonald","hospitality",177,179.91,172.27,179.5,7103874,177.84,-0.0334257296592206,"up",41.92,43.02,39.87,40.11,40.84,1.08156779661017,"down",2162241,2065566,0.0406712883658129,"up",148568,141271,0.0624116355322925,"up"
2020-04-17,"mcdonald","hospitality",182.32,186.81,180.2275,186.1,6467540,179.5,0.00933423301844353,"up",39.5,40.26,37.63,38.15,40.11,0.982125367286973,"down",2250566,2162241,0.0468031522594775,"up",157457,148568,0.0516524976817606,"up"
2020-04-20,"mcdonald","hospitality",184.45,185.78,181.55,181.65,3855035,186.1,0.0367688022284122,"down",40.68,43.83,39.88,43.83,38.15,0.951134380453752,"up",2477668,2250566,0.0408488230497895,"up",173929,157457,0.0598311884120403,"up"
2020-04-21,"mcdonald","hospitality",177.37,179.39,176.1,177.58,4756259,181.65,-0.0239118753358409,"down",44.28,47.77,43.77,45.41,43.83,1.14888597640891,"up",2552783,2477668,0.100908838043408,"up",181080,173929,0.104612687908445,"up"
2020-04-22,"mcdonald","hospitality",180.75,187.73,180.75,186.48,4243540,177.58,-0.0224057252958987,"up",44.91,45.07,41.41,41.98,45.41,1.03604836869724,"down",2629660,2552783,0.0303168140364246,"up",187837,181080,0.0411144777466667,"up"
