"vix.change","day","open","high","low","close","previous","change.percent","volume","vix.previous","vix.change.percent","confirmed.total","confirmed.previous","confirmed.change.percent","deaths.total","deaths.previous","deaths.change.percent"
3.52,49,246.5,248.72,239.13,240.91,254.29,-0.05261709072319,44054638,53.54,0.0657452372058275,947840,871674,0.0873789971939051,50027,44477,0.124783596015918
-6.15000000000001,50,240.34,245.15,236.9,244.93,240.91,0.0166867294840397,41483493,57.06,-0.107781282860147,1029275,947840,0.0859163993923025,56334,50027,0.126071921162572
-4.11,51,242.8,245.7,238.9741,241.41,244.93,-0.0143714530682236,32470017,50.91,-0.0807307012374779,1112215,1029275,0.0805809914745816,62314,56334,0.106152589910179
-1.56,52,250.9,263.11,249.38,262.47,241.41,0.0872374798061391,50455071,46.8,-0.0333333333333332,1337062,1112215,0.202161452596845,79015,62314,0.268013608498893
1.46,53,270.8,271.7,259,259.43,262.47,-0.0115822760696461,50721831,45.24,0.0322723253757737,1413812,1337062,0.0574019753758614,86922,79015,0.100069607036639
-3.35,54,262.74,267.37,261.23,266.07,259.43,0.0255945727171105,42223821,46.7,-0.0717344753747324,1497403,1413812,0.0591245512133155,93651,86922,0.0774142334506799
-1.68,55,268.7,270.07,264.7,267.99,266.07,0.00721614612695913,40529123,43.35,-0.0387543252595156,1583844,1497403,0.0577272784948341,101266,93651,0.0813125327011991
-0.5,56,268.31,273.7,265.83,273.25,267.99,0.0196275980447031,32755731,41.67,-0.0119990400767939,1915142,1583844,0.209173378186236,126070,101266,0.244939071356625
-3.41,57,280,288.25,278.05,287.05,273.25,0.0505032021957914,48748672,41.17,-0.0828273014330824,1984840,1915142,0.0363931238519128,132972,126070,0.0547473625763465
3.08000000000001,58,282.4,286.33,280.63,284.43,287.05,-0.00912732973349592,32788641,37.76,0.0815677966101696,2065566,1984840,0.0406712883658129,141271,132972,0.0624116355322925
-0.730000000000004,59,287.38,288.1975,282.3502,286.69,284.43,0.00794571599339026,39281290,40.84,-0.0178746327130265,2162241,2065566,0.0468031522594775,148568,141271,0.0516524976817606
-1.96,60,284.69,286.945,276.86,282.8,286.69,-0.013568663015801,53812478,40.11,-0.0488656195462478,2250566,2162241,0.0408488230497895,157457,148568,0.0598311884120403
5.68,61,277.95,281.68,276.85,276.93,282.8,-0.0207567185289958,32503750,38.15,0.148885976408912,2477668,2250566,0.100908838043408,173929,157457,0.104612687908445
1.58,62,276.28,277.25,265.43,268.37,276.93,-0.0309103383526523,45247893,43.83,0.0360483686972393,2552783,2477668,0.0303168140364246,181080,173929,0.0411144777466667
-3.43,63,273.61,277.9,272.2,276.1,268.37,0.0288035175317659,29264342,45.41,-0.075534023342876,2629660,2552783,0.0301149764786118,187837,181080,0.0373149988955158
-0.599999999999994,64,275.87,281.75,274.87,275.03,276.1,-0.00387540746106501,31203582,41.98,-0.0142925202477369,2719097,2629660,0.0340108607196368,194706,187837,0.0365689400916752
-5.45,65,277.2,283.01,277,282.97,275.03,0.0288695778642332,31627183,41.38,-0.13170613823103,2806113,2719097,0.032001800597772,201387,194706,0.0343132723182645
-2.64,66,281.8,284.54,279.95,283.17,282.97,0.000706788705516446,29271893,35.93,-0.073476203729474,3032503,2806113,0.0806774352992912,215478,201387,0.069969759716367
0.280000000000001,67,285.08,285.83,278.2,278.58,283.17,-0.0162093442101919,28001187,33.29,0.00841093421447886,3107085,3032503,0.0245942048532186,221931,215478,0.0299473728176426
-2.34,68,284.73,289.67,283.89,287.73,278.58,0.0328451432263624,34320204,33.57,-0.0697050938337802,3183962,3107085,0.0247424837106162,228695,221931,0.0304779413421289
2.92,69,289.96,294.53,288.35,293.8,287.73,0.0210961665450248,45765968,31.23,0.0934998398975344,3267740,3183962,0.0263124999607407,234652,228695,0.026047792911957
3.04,70,286.25,299,285.85,289.07,293.8,-0.0160993873383255,60154175,34.15,0.0890190336749634,3354731,3267740,0.0266211510095662,239824,234652,0.0220411502991664
-1.22,71,289.17,293.69,286.3172,293.16,289.07,0.0141488220846163,33391986,37.19,-0.0328045173433718,3589133,3354731,0.0698720702196391,252739,239824,0.0538519914604043
-2.36,72,295.06,301,294.46,297.56,293.16,0.0150088688770636,36937795,35.97,-0.0656102307478454,3669172,3589133,0.0223003717053673,258618,252739,0.0232611508314902
0.509999999999998,73,300.46,303.24,298.87,300.63,297.56,0.0103172469417932,35583438,33.61,0.0151740553406724,3759093,3669172,0.0245071640141154,265272,258618,0.0257290675823029
-2.68,74,303.22,305.17,301.97,303.74,300.63,0.0103449422878622,28803764,34.12,-0.0785463071512308,3848305,3759093,0.0237323205358314,270689,265272,0.0204205494737477
-3.46,75,305.64,310.35,304.29,310.13,303.74,0.0210377296371897,33511985,31.44,-0.110050890585242,3939833,3848305,0.0237839776213164,276252,270689,0.0205512599329858
