"","timestamp","company","category","open","high","low","close","volume","vix.open","vix.high","vix.low","vix.close"
"421",2020-02-20,"facebook","technology",216.52,218.765,212.945,214.58,13109213,14.54,17.21,14.49,15.56
"422",2020-02-21,"facebook","technology",213.48,214.237,208.8305,210.18,14098432,17.33,18.21,16.19,17.08
"423",2020-02-24,"facebook","technology",201.8,203.65,198.17,200.72,23080057,22.25,26.35,22,25.03
"424",2020-02-25,"facebook","technology",202.27,203.5,195.9537,196.77,21433487,23.28,30.25,22.62,27.85
"425",2020-02-26,"facebook","technology",197.19,201.21,195.49,197.2,16555210,26.63,29.57,24.76,27.56
"426",2020-02-27,"facebook","technology",191.82,195.88,189.5,189.75,21682626,32.14,39.31,29.37,39.16
"427",2020-02-28,"facebook","technology",182.695,192.74,181.82,192.47,32583494,42.02,49.48,39.37,40.11
"428",2020-03-02,"facebook","technology",194.03,196.57,188.85,196.44,24948955,38.54,40.41,31.5,33.42
"429",2020-03-03,"facebook","technology",196.22,197.24,183.97,185.89,27984104,33.65,41.06,24.93,36.82
"430",2020-03-04,"facebook","technology",189.17,191.83,186.39,191.76,23062473,34.44,35.58,30.3,31.99
"431",2020-03-05,"facebook","technology",186.78,188.99,183.8901,185.17,19333425,33.61,42.84,33.54,39.62
"432",2020-03-06,"facebook","technology",178.33,183.78,176.26,181.09,24559550,48.93,54.39,40.84,41.94
"433",2020-03-09,"facebook","technology",169.6,175,165.19,169.5,29949041,41.94,62.12,41.94,54.46
"434",2020-03-10,"facebook","technology",174.67,178.29,169.5,178.19,24517791,49.68,55.66,43.56,47.3
"435",2020-03-11,"facebook","technology",174.01,175.88,167.66,170.24,20397204,52.24,55.82,49.98,53.9
"436",2020-03-12,"facebook","technology",159.54,166.6,154.34,154.47,43266335,61.46,76.83,59.91,75.47
"437",2020-03-13,"facebook","technology",163.53,170.79,157.6,170.28,35028627,65.07,77.57,55.17,57.83
"438",2020-03-16,"facebook","technology",152.32,159.13,143.1,146.01,39120419,57.83,83.56,57.83,82.69
"439",2020-03-17,"facebook","technology",150.74,153.94,140,149.42,34255596,82.69,84.83,70.37,75.91
"440",2020-03-18,"facebook","technology",139.75,148.18,137.1006,146.96,37553136,69.37,85.47,69.37,76.45
"441",2020-03-19,"facebook","technology",146.62,159.9294,144.8,153.13,39862312,80.62,84.26,68.57,72
"442",2020-03-20,"facebook","technology",156.02,159.27,148,149.73,32568398,67.86,69.51,57.42,66.04
"443",2020-03-23,"facebook","technology",149.66,152.31,142.25,148.1,29830765,74.08,76.74,60.46,61.59
"444",2020-03-24,"facebook","technology",155.205,161.31,152.57,160.98,30440369,58.76,61.88,36.24,61.67
"445",2020-03-25,"facebook","technology",158.92,162.99,153.06,156.21,35184271,61.44,68.86,58.03,63.95
"446",2020-03-26,"facebook","technology",158.25,164,157.0201,163.34,26579021,65.67,67.06,57.66,61
